person_number,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9
A00082,3,1,3,1,3,4,4,1,3
A00083,4,1,3,1,4,4,3,1,3
A00084,4,1,3,1,3,3,4,1,4
A00085,2,1,2,2,1,2,2,2,2
A00086,2,1,2,1,1,1,1,4,1
A00087,1,1,3,1,1,1,1,4,1
A00088,4,1,3,1,3,3,3,1,4
A00089,3,1,3,1,4,4,4,1,3
A00090,4,1,3,1,3,4,3,1,4
A00091,4,1,3,1,4,4,3,1,4
A00092,4,1,3,1,3,3,4,1,3
A00093,3,1,4,1,3,3,4,1,3
A00094,4,1,4,1,3,3,4,1,4
A00095,3,1,4,1,3,3,4,1,4
A00096,4,1,3,1,4,4,3,1,3
A00097,4,1,3,1,3,4,3,1,3
A00098,4,1,3,1,3,3,3,1,3
A00099,3,1,3,1,4,3,3,1,3
A00100,3,1,4,1,4,4,4,1,3
A00101,4,1,3,1,3,4,4,1,3
A00102,3,1,4,1,4,4,4,1,4
A00103,2,1,3,1,1,1,1,4,1
A00104,4,1,3,1,3,3,3,1,4
A00105,1,1,2,1,1,1,1,4,1
A00106,2,1,3,1,1,1,1,4,1
A00107,1,1,1,1,1,1,1,2,1
A00108,1,1,2,1,1,1,1,4,1
A00109,3,1,3,1,3,4,3,1,3
A00110,4,1,4,1,4,3,3,1,4
A00111,1,3,3,1,4,2,3,1,3
A00112,4,1,4,1,4,4,3,1,4
A00113,2,1,1,1,1,1,2,2,2
A00114,4,1,3,1,3,4,3,1,3
A00115,1,1,1,1,1,1,1,3,2
A00116,1,1,2,3,2,1,2,3,2
A00117,2,1,2,1,1,1,1,4,1
A00118,1,1,2,1,1,1,1,4,1
A00119,3,1,4,1,4,3,4,1,4
A00120,4,1,3,1,3,3,3,1,4
A00121,4,1,3,1,4,3,3,1,4
A00122,2,1,1,1,1,1,2,3,1
A00123,4,1,3,1,3,4,3,1,4
A00124,4,1,4,1,4,3,3,1,3
A00125,3,1,3,1,3,3,4,1,3
A00126,1,1,2,1,1,1,1,5,1
A00127,2,1,2,1,1,1,1,5,1
A00128,1,1,1,3,2,2,2,3,2
A00129,4,1,4,1,4,3,3,1,3
A00130,3,1,3,1,4,4,4,1,3
A00131,4,1,4,1,4,3,3,1,3
A00132,2,4,4,1,4,3,3,1,2
A00133,2,3,4,1,4,3,4,1,2
A00134,3,1,4,1,4,3,3,1,3
A00135,2,1,1,1,1,1,2,2,1
A00136,3,1,3,1,4,4,4,1,4
A00137,4,1,3,1,4,3,3,1,3
A00138,3,1,4,1,4,3,3,1,3
A00139,3,1,4,1,4,4,3,1,4
A00140,2,1,2,1,1,1,1,4,1
A00141,4,1,3,1,4,3,3,1,4
A00142,1,1,3,1,1,1,1,4,1
A00143,2,1,3,1,1,1,1,5,1
A00144,2,1,2,1,1,1,1,5,1
A00145,4,1,3,1,4,4,3,1,3
A00146,2,1,1,1,1,1,1,2,1
A00147,3,1,4,1,3,4,3,1,4
A00148,3,1,4,1,3,4,4,1,4
A00149,2,1,1,1,1,1,1,2,1
A00150,3,1,3,1,4,4,4,1,3
A00151,1,1,1,2,2,2,1,2,1
A00152,2,1,1,1,1,1,1,3,1
A00153,1,1,2,2,2,2,1,3,2
A00154,1,1,1,2,1,1,2,2,1
A00155,1,1,1,2,2,1,1,2,1
A00156,4,1,3,1,4,3,3,1,3
A00157,4,1,3,1,4,4,4,1,4
A00158,3,1,3,1,3,3,4,1,4
A00159,3,1,4,1,4,3,3,1,3
A00160,2,1,1,1,1,1,2,2,1
A00161,2,1,2,2,2,2,1,2,1
A00162,3,1,3,1,3,4,4,1,3
A00163,1,1,2,1,1,1,1,4,1
A00164,2,1,1,2,2,1,2,3,1
A00165,2,1,3,1,1,1,1,4,1
A00166,1,1,1,3,2,2,2,2,1
A00167,3,1,3,1,3,4,4,1,4
A00168,1,1,2,1,1,1,1,4,1
A00169,2,1,1,3,2,2,1,2,1
A00170,1,1,1,1,1,1,2,2,2
A00171,1,1,1,1,1,1,2,2,1
A00172,4,1,3,1,3,4,4,1,4
A00173,1,1,3,1,1,1,1,4,1
A00174,4,1,3,1,4,3,3,1,4
A00175,4,1,4,1,4,4,4,1,3
A00176,3,1,4,1,3,4,3,1,4
A00177,1,1,1,1,1,1,2,2,2
A00178,1,1,3,1,1,1,1,4,1
A00179,3,1,4,1,4,3,3,1,3
A00180,3,1,4,1,3,4,3,1,3
A00181,3,1,4,1,4,3,3,1,3
A00182,3,1,3,1,4,3,3,1,3
A00183,1,1,1,2,1,1,2,2,2
A00184,4,1,3,1,3,3,3,1,4
A00185,1,1,1,1,1,1,1,2,2
A00186,1,1,1,1,1,1,1,3,2
A00187,1,1,3,1,1,1,1,4,1
A00188,3,1,4,1,3,3,4,1,3
A00189,4,1,3,1,3,4,4,1,4
A00190,2,3,4,1,4,3,4,1,3
A00191,4,1,3,1,4,4,4,1,3
A00192,4,1,4,1,4,4,4,1,4
A00193,2,1,2,1,1,1,1,4,1
A00194,4,1,3,1,3,3,3,1,4
A00195,4,1,4,1,3,4,4,1,3
A00196,4,1,4,1,4,4,4,1,4
A00197,2,1,2,3,1,2,2,3,2
A00198,3,1,3,1,3,3,3,1,3
A00199,3,1,3,1,3,3,3,1,3
A00200,4,1,4,1,3,4,4,1,4
A00201,4,1,4,1,3,4,4,1,3
A00202,4,1,3,1,4,4,3,1,3
A00203,4,1,4,1,4,4,3,1,3
A00204,2,1,1,2,1,2,1,2,2
A00205,3,1,4,1,4,4,4,1,3
A00206,1,1,3,1,1,1,1,5,1
A00207,2,1,3,1,1,1,1,5,1
A00208,2,1,3,1,1,1,1,4,1
A00209,2,1,2,1,1,1,1,5,1
A00210,3,1,3,1,4,3,3,1,4
A00211,3,1,4,1,3,4,4,1,3
A00212,1,1,1,1,1,1,2,3,1
A00213,4,1,4,1,4,3,3,1,4
A00214,2,1,1,1,1,1,2,3,2
A00215,4,1,4,1,4,4,3,1,4
A00216,1,1,2,2,2,1,1,2,1
A00217,2,3,3,1,3,3,4,1,3
A00218,3,1,4,1,3,3,4,1,4
A00219,1,1,2,1,1,1,1,5,1
A00220,3,1,3,1,3,3,4,1,4
A00221,3,1,4,1,3,3,4,1,3
A00222,2,1,3,1,1,1,1,5,1
A00223,3,1,3,1,4,3,4,1,3
A00224,1,1,1,1,1,1,1,3,2
A00225,1,1,1,1,1,1,1,2,1
A00226,3,1,4,1,3,3,4,1,4
A00227,1,1,1,1,1,1,1,3,2
A00228,2,1,2,1,1,1,1,5,1
A00229,2,1,1,1,1,1,2,3,1
A00230,2,1,2,3,1,2,2,2,1
A00231,2,1,1,1,1,1,1,2,1
A00232,1,1,2,3,1,1,1,3,1
A00233,2,1,1,1,1,1,2,2,1
A00234,2,1,1,1,1,1,1,3,2
A00235,3,1,4,1,3,3,4,1,3
A00236,1,1,1,1,1,1,1,3,1
A00237,3,1,4,1,3,4,3,1,3
A00238,3,1,3,1,4,4,4,1,4
A00239,2,1,1,3,1,1,2,2,2
A00240,2,1,1,1,1,1,2,3,2
A00241,4,1,4,1,4,3,3,1,4
A00242,2,1,2,2,1,1,2,3,2
A00243,1,1,1,1,1,1,1,3,1
A00244,1,1,1,1,1,1,1,3,1
A00245,4,1,4,1,3,3,4,1,4
A00246,4,1,4,1,3,3,3,1,3
A00247,4,1,3,1,4,4,4,1,3
A00248,2,3,3,1,4,3,4,2,2
A00249,3,1,4,1,4,4,4,1,4
A00250,3,1,3,1,4,3,4,1,3
A00251,4,1,4,1,4,4,4,1,3
A00252,4,1,3,1,3,3,3,1,3
A00253,3,1,3,1,4,4,3,1,4
A00254,4,1,4,1,3,3,4,1,3
A00255,1,1,1,1,1,1,1,3,2
A00256,2,1,1,2,2,1,2,3,1
A00257,4,1,3,1,4,3,4,1,3
A00258,4,1,4,1,3,4,3,1,4
A00259,1,1,3,1,1,1,1,4,1
A00260,1,1,1,1,1,1,1,2,2
A00261,2,1,2,3,2,1,2,2,2
A00262,4,1,4,1,3,3,3,1,3
A00263,1,1,3,1,1,1,1,4,1
A00264,4,1,3,1,4,3,3,1,4
A00265,2,1,2,2,2,1,1,3,2
A00266,2,1,3,1,1,1,1,4,1
A00267,4,1,3,1,4,4,3,1,4
A00268,3,1,3,1,3,3,3,1,3
A00269,2,3,3,1,4,2,4,2,2
A00270,1,1,1,1,1,1,2,3,1
A00271,4,1,4,1,4,3,4,1,3
A00272,1,1,3,1,1,1,1,5,1
A00273,4,1,4,1,3,4,4,1,4
A00274,1,1,1,1,1,1,2,2,1
A00275,3,1,4,1,3,4,3,1,4
A00276,1,1,3,1,1,1,1,5,1
A00277,1,1,1,1,1,1,2,2,1
A00278,4,1,4,1,3,3,4,1,3
A00279,4,1,3,1,4,4,4,1,3
A00280,1,1,1,3,2,2,1,2,2
A00281,4,1,3,1,3,3,4,1,3
A00282,3,1,3,1,4,4,4,1,3
A00283,4,1,3,1,3,3,3,1,4
A00284,3,1,4,1,3,3,3,1,3
A00285,1,1,1,3,1,2,1,2,1
A00286,2,1,1,1,1,1,1,2,2
A00287,3,1,4,1,4,4,3,1,4
A00288,4,1,4,1,4,4,3,1,3
A00289,4,1,3,1,3,3,4,1,3
A00290,2,1,1,1,1,1,1,3,1
A00291,3,1,3,1,4,3,3,1,4
A00292,1,1,1,2,2,2,1,2,1
A00293,2,1,2,1,1,1,1,5,1
A00294,1,1,1,1,1,1,2,3,1
A00295,4,1,4,1,3,3,3,1,4
A00296,2,1,1,3,2,2,2,2,1
A00297,2,1,2,1,1,1,1,4,1
A00298,2,4,4,1,4,2,4,2,3
A00299,3,1,4,1,3,4,3,1,4
A00300,4,1,4,1,3,4,4,1,3
A00301,1,1,2,1,1,1,1,5,1
A00302,4,1,3,1,3,3,3,1,3
A00303,3,1,4,1,3,3,4,1,4
A00304,2,1,3,1,1,1,1,5,1
A00305,3,1,3,1,4,3,4,1,4
A00306,2,1,1,2,2,2,1,2,1
A00307,3,1,3,1,3,3,4,1,4
A00308,4,1,3,1,4,4,3,1,4
A00309,3,1,3,1,4,4,4,1,4
A00310,2,1,1,3,2,1,1,3,2
A00311,4,1,4,1,3,4,4,1,3
A00312,3,1,3,1,4,3,3,1,4
A00313,2,1,3,1,1,1,1,5,1
A00314,4,1,3,1,3,4,4,1,4
A00315,3,1,4,1,3,4,4,1,4
A00316,3,1,4,1,4,4,3,1,3
A00317,2,1,3,1,1,1,1,5,1
A00318,1,1,1,1,1,1,2,3,1
A00319,3,1,4,1,4,4,3,1,4
A00320,4,1,3,1,4,3,3,1,3
A00321,1,1,1,1,1,1,1,2,2
A00322,4,1,4,1,4,4,4,1,3
A00323,1,1,3,1,1,1,1,5,1
A00324,2,1,3,1,1,1,1,4,1
A00325,2,1,1,2,1,1,1,2,1
A00326,1,4,3,1,4,2,3,1,2
A00327,2,1,2,1,1,1,1,4,1
A00328,2,1,1,1,1,1,1,2,1
A00329,1,1,1,1,1,1,1,3,1
A00330,3,1,3,1,3,4,3,1,4
A00331,4,1,4,1,4,4,3,1,4
A00332,4,1,3,1,3,4,4,1,4
A00333,2,1,2,3,2,2,1,2,2
A00334,2,1,1,1,1,1,1,2,1
A00335,1,3,4,1,4,3,4,2,3
A00336,4,1,4,1,4,3,3,1,3
A00337,4,1,3,1,3,4,4,1,3
A00338,3,1,4,1,4,3,3,1,4
A00339,2,1,1,1,1,1,1,3,2
A00340,4,1,4,1,4,4,3,1,3
A00341,3,1,3,1,4,4,3,1,3
A00342,1,1,2,1,1,1,1,4,1
A00343,2,1,1,1,1,1,2,2,1
A00344,2,1,3,1,1,1,1,5,1
A00345,2,1,2,1,1,1,1,5,1
A00346,2,3,4,1,4,3,3,2,2
A00347,4,1,4,1,3,3,4,1,4
A00348,1,1,2,1,1,1,1,5,1
A00349,2,1,1,1,1,1,1,2,1
A00350,4,1,3,1,3,3,4,1,4
A00351,2,4,4,1,4,2,3,1,3
A00352,3,1,3,1,3,4,4,1,4
A00353,1,1,2,1,1,1,1,4,1
A00354,3,1,3,1,4,3,3,1,4
A00355,2,1,2,2,1,1,1,2,2
A00356,4,1,4,1,4,4,3,1,3
A00357,2,1,1,2,1,2,1,2,1
A00358,2,1,2,3,1,2,1,2,2
A00359,2,1,3,1,1,1,1,4,1
A00360,4,1,3,1,4,3,4,1,3
A00361,1,1,1,3,1,2,1,2,2
A00362,1,1,1,2,2,1,2,2,2
A00363,4,1,3,1,3,3,4,1,4
A00364,4,1,3,1,3,4,3,1,3
A00365,3,1,3,1,4,3,3,1,4
A00366,3,1,3,1,4,3,3,1,4
A00367,3,1,4,1,4,4,4,1,4
A00368,4,1,4,1,4,4,3,1,3
A00369,3,1,3,1,4,4,4,1,4
A00370,1,1,3,1,1,1,1,4,1
A00371,2,1,2,1,1,1,1,5,1
A00372,2,1,1,3,1,2,1,3,2
A00373,1,1,1,1,1,1,2,2,1
A00374,2,1,3,1,1,1,1,5,1
A00375,2,1,2,1,1,1,1,5,1
A00376,4,1,3,1,3,3,4,1,4
A00377,1,1,2,2,1,1,2,2,2
A00378,4,1,3,1,4,4,3,1,3
A00379,2,4,3,1,3,3,3,1,3
A00380,2,1,2,3,2,1,2,2,1
A00381,1,1,2,3,1,2,1,2,2
A00382,2,1,1,1,1,1,1,3,1
A00383,4,1,3,1,3,3,4,1,3
A00384,3,1,4,1,4,4,3,1,3
A00385,4,1,4,1,4,4,4,1,4
A00386,1,1,1,2,2,1,2,3,1
A00387,1,1,1,1,1,1,1,2,1
A00388,2,1,1,1,1,1,1,3,1
A00389,1,1,1,1,1,1,2,2,1
A00390,3,1,4,1,4,4,3,1,4
A00391,1,1,1,3,1,1,2,2,1
A00392,2,1,2,1,1,1,1,4,1
A00393,2,1,1,2,1,2,2,3,1
A00394,2,1,1,1,1,1,2,3,1
A00395,4,1,3,1,3,3,3,1,4
A00396,2,1,1,3,1,1,1,3,2
A00397,4,1,3,1,4,3,4,1,4
A00398,3,1,4,1,3,4,3,1,4
A00399,1,1,1,1,1,1,2,3,2
A00400,4,1,4,1,3,3,3,1,4
A00401,4,1,4,1,3,3,4,1,4
A00402,1,1,3,1,1,1,1,4,1
A00403,4,1,4,1,3,3,4,1,3
A00404,2,1,1,1,1,1,1,2,1
A00405,4,1,4,1,4,3,3,1,3
A00406,1,1,2,1,1,1,1,5,1
A00407,3,1,3,1,3,3,4,1,4
A00408,3,1,3,1,4,3,4,1,4
A00409,1,4,4,1,4,3,4,2,2
A00410,3,1,4,1,3,3,3,1,3
A00411,2,1,2,1,1,1,1,5,1
A00412,3,1,4,1,3,3,3,1,4
A00413,1,4,3,1,4,3,3,1,3
A00414,4,1,4,1,3,4,4,1,4
A00415,4,1,4,1,4,4,4,1,3
A00416,3,1,3,1,3,4,4,1,4
A00417,4,1,3,1,3,3,3,1,4
A00418,3,1,4,1,3,3,3,1,4
A00419,2,1,3,1,1,1,1,5,1
A00420,1,1,1,1,1,1,1,2,2
A00421,2,1,3,1,1,1,1,5,1
A00422,1,3,3,1,4,2,3,1,2
A00423,3,1,3,1,4,4,3,1,4
A00424,3,1,4,1,3,4,4,1,4
A00425,1,1,3,1,1,1,1,5,1
A00426,2,1,2,2,1,2,1,2,1
A00427,4,1,4,1,4,4,3,1,3
A00428,1,1,2,2,2,2,2,3,1
A00429,4,1,4,1,3,4,3,1,4
A00430,1,1,1,1,1,1,1,3,1
A00431,1,1,1,3,2,2,2,2,2
A00432,4,1,3,1,3,4,3,1,3
A00433,3,1,4,1,3,3,3,1,4
A00434,3,1,4,1,4,3,4,1,4
A00435,2,1,1,2,2,1,2,3,2
A00436,2,3,3,1,4,3,3,1,3
A00437,4,1,3,1,4,3,3,1,3
A00438,3,1,4,1,4,3,4,1,4
A00439,3,1,3,1,3,3,3,1,4
A00440,3,1,3,1,3,4,3,1,4
A00441,3,1,3,1,3,4,3,1,3
A00442,4,1,3,1,3,4,4,1,4
A00443,4,1,3,1,4,3,4,1,3
A00444,2,1,2,1,1,1,1,5,1
A00445,4,1,3,1,3,4,4,1,4
A00446,2,1,2,1,1,1,1,5,1
A00447,3,1,4,1,3,3,3,1,3
A00448,3,1,4,1,4,3,3,1,4
A00449,2,1,1,3,1,1,1,2,1
A00450,4,1,3,1,3,4,4,1,4
A00451,4,1,4,1,4,4,3,1,3
A00452,1,1,2,3,2,2,1,2,2
A00453,3,1,4,1,3,4,3,1,4
A00454,4,1,4,1,3,3,4,1,3
A00455,4,1,4,1,3,3,3,1,3
A00456,4,1,4,1,3,3,3,1,4
A00457,1,1,3,1,1,1,1,4,1
A00458,3,1,4,1,4,4,3,1,4
A00459,4,1,3,1,4,3,4,1,3
A00460,3,1,4,1,4,3,4,1,3
A00461,4,1,3,1,3,4,4,1,4
A00462,3,1,4,1,4,4,3,1,4
A00463,1,3,3,1,4,3,3,2,3
A00464,4,1,3,1,4,3,3,1,4
A00465,1,1,1,2,1,1,1,3,1
A00466,4,1,3,1,3,3,3,1,3
A00467,3,1,3,1,4,4,3,1,3
A00468,1,1,2,2,1,2,1,3,2
A00469,4,1,4,1,3,3,3,1,4
A00470,3,1,3,1,3,3,4,1,3
A00471,1,1,1,1,1,1,1,3,2
A00472,3,1,3,1,3,4,4,1,4
A00473,3,1,3,1,4,3,3,1,4
A00474,4,1,4,1,4,4,4,1,3
A00475,1,1,1,3,2,1,2,3,1
A00476,4,1,4,1,3,3,4,1,3
A00477,4,1,3,1,3,3,3,1,3
A00478,1,1,2,1,1,1,1,5,1
A00479,1,1,1,2,2,1,1,2,2
A00480,4,1,4,1,3,4,3,1,4
A00481,1,1,1,3,2,1,1,3,2
A00482,4,1,3,1,4,3,4,1,3
A00483,3,1,4,1,4,4,3,1,4
A00484,4,1,4,1,4,4,4,1,4
A00485,4,1,3,1,3,3,3,1,4
A00486,3,1,4,1,3,3,3,1,4
A00487,2,1,1,1,1,1,2,2,1
A00488,1,4,4,1,4,3,4,2,3
A00489,3,1,3,1,3,3,4,1,4
A00490,1,1,2,2,1,1,1,3,1
A00491,3,1,4,1,3,4,3,1,4
A00492,3,1,4,1,4,4,3,1,4
A00493,3,1,3,1,4,4,3,1,4
A00494,4,1,4,1,4,4,4,1,3
A00495,4,1,3,1,4,3,3,1,4
A00496,4,1,3,1,4,3,4,1,3
A00497,1,1,3,1,1,1,1,4,1
A00498,2,1,1,1,1,1,2,2,1
A00499,2,1,3,1,1,1,1,5,1
A00500,1,1,2,1,1,1,1,4,1
A00501,4,1,4,1,3,3,4,1,3
A00502,4,1,4,1,3,4,4,1,4
A00503,2,1,1,2,1,1,2,2,2
A00504,3,1,3,1,4,3,3,1,3
A00505,1,1,1,2,2,1,1,2,2
A00506,2,1,3,1,1,1,1,5,1
A00507,4,1,3,1,3,4,3,1,3
A00508,4,1,3,1,3,4,4,1,3
A00509,4,1,4,1,3,4,4,1,4
A00510,3,1,3,1,4,4,3,1,4
A00511,4,1,4,1,3,4,4,1,3
A00512,4,1,4,1,3,4,4,1,3
A00513,2,1,1,3,2,2,2,2,1
A00514,4,1,3,1,3,3,4,1,3
A00515,3,1,3,1,3,3,4,1,4
A00516,1,1,1,1,1,1,2,3,1
A00517,4,1,4,1,4,3,4,1,4
A00518,4,1,4,1,4,3,3,1,4
A00519,2,1,1,1,1,1,2,2,1
A00520,4,1,4,1,3,3,3,1,3
A00521,2,1,2,1,1,1,1,5,1
A00522,2,1,2,1,1,1,1,4,1
A00523,1,1,2,1,1,1,1,4,1
A00524,2,1,2,1,1,1,1,4,1
A00525,2,1,2,1,1,1,1,5,1
A00526,4,1,4,1,4,3,4,1,4
A00527,1,1,1,1,1,1,1,3,2
A00528,3,1,4,1,4,3,3,1,4
A00529,2,1,1,3,1,1,2,2,2
A00530,3,1,3,1,4,3,4,1,4
A00531,1,1,2,2,1,1,1,3,2
A00532,2,1,3,1,1,1,1,4,1
A00533,3,1,3,1,4,3,3,1,4
A00534,4,1,4,1,4,4,4,1,4
A00535,1,1,2,3,2,2,1,3,1
A00536,2,1,1,1,1,1,2,3,2
A00537,3,1,3,1,4,4,3,1,4
A00538,3,1,3,1,4,4,3,1,4
A00539,1,1,2,1,1,1,1,5,1
A00540,3,1,3,1,4,4,4,1,4
A00541,3,1,3,1,4,3,4,1,3
A00542,3,1,4,1,4,4,4,1,4
A00543,2,1,1,1,1,1,1,2,1
A00544,4,1,3,1,4,3,3,1,4
A00545,2,4,4,1,4,2,3,2,2
A00546,4,1,3,1,4,4,4,1,4
A00547,4,1,4,1,4,4,3,1,4
A00548,2,1,2,3,2,2,1,3,1
A00549,4,1,4,1,3,4,3,1,4
A00550,3,1,3,1,3,3,3,1,4
A00551,3,1,4,1,3,3,3,1,3
A00552,2,3,4,1,4,3,3,1,3
A00553,4,1,3,1,3,4,4,1,3
A00554,2,1,1,1,1,1,2,3,2
A00555,2,1,2,1,1,1,1,4,1
A00556,1,4,4,1,3,2,3,1,2
A00557,1,1,3,1,1,1,1,4,1
A00558,1,1,1,1,1,1,2,2,1
A00559,3,1,4,1,4,3,4,1,3
A00560,1,1,2,1,1,1,1,5,1
A00561,1,1,1,1,1,1,2,2,1
A00562,2,1,1,1,1,1,1,2,2
A00563,1,1,2,3,2,2,1,2,2
A00564,2,1,2,3,1,2,2,3,2
A00565,1,1,2,1,1,1,1,4,1
A00566,1,1,1,1,1,1,2,2,2
A00567,1,1,2,2,1,1,2,3,1
A00568,2,1,2,2,2,2,1,2,2
A00569,4,1,3,1,4,3,4,1,3
A00570,1,1,1,1,1,1,1,2,1
A00571,2,3,3,1,4,3,4,2,2
A00572,1,1,1,1,1,1,2,3,2
A00573,3,1,4,1,4,4,3,1,4
A00574,3,1,3,1,3,3,4,1,4
A00575,1,1,1,1,1,1,2,2,1
A00576,1,4,3,1,3,2,3,2,2
A00577,3,1,3,1,4,3,4,1,3
A00578,3,1,4,1,3,4,3,1,3
A00579,1,1,1,1,1,1,2,2,2
A00580,1,1,1,3,1,2,2,2,1
A00581,1,1,2,3,1,2,2,2,1
A00582,3,1,4,1,4,4,3,1,4
A00583,1,1,1,1,1,1,1,2,2
A00584,2,1,2,3,1,1,2,2,1
A00585,4,1,4,1,4,4,4,1,4
A00586,2,3,3,1,3,2,4,2,2
A00587,4,1,4,1,4,3,4,1,4
A00588,1,1,2,3,1,1,1,3,1
A00589,3,1,3,1,4,4,4,1,4
A00590,2,4,3,1,4,2,4,1,2
A00591,1,1,3,1,1,1,1,4,1
A00592,3,1,3,1,4,4,3,1,4
A00593,4,1,4,1,4,3,3,1,4
A00594,1,1,1,1,1,1,2,2,2
A00595,2,1,1,2,2,1,2,3,1
A00596,2,1,2,3,1,2,2,3,2
A00597,1,1,2,1,1,1,1,5,1
A00598,3,1,3,1,3,3,3,1,4
A00599,2,1,3,1,1,1,1,4,1
A00600,3,1,4,1,3,3,3,1,4
A00601,2,1,2,1,1,1,1,5,1
A00602,2,1,1,3,2,2,2,3,2
A00603,3,1,4,1,3,4,4,1,3
A00604,3,1,4,1,4,4,3,1,3
A00605,2,1,2,2,2,1,1,3,1
A00606,4,1,3,1,4,4,4,1,3
A00607,1,3,3,1,3,3,4,1,3
A00608,1,1,2,3,1,2,1,2,1
A00609,1,1,1,3,2,1,1,2,1
A00610,4,1,3,1,3,4,4,1,3
A00611,1,1,3,1,1,1,1,4,1
A00612,3,1,3,1,3,4,3,1,3
A00613,1,1,2,2,2,1,2,2,2
A00614,1,3,4,1,4,3,3,2,2
A00615,1,1,1,3,1,2,1,2,1
A00616,2,1,2,2,2,2,2,2,2
A00617,4,1,3,1,3,4,3,1,3
A00618,2,1,1,1,1,1,1,3,2
A00619,1,1,2,1,1,1,1,5,1
A00620,2,1,1,1,1,1,1,3,2
A00621,3,1,3,1,4,4,4,1,4
A00622,3,1,3,1,4,4,3,1,3
A00623,3,1,4,1,3,4,3,1,3
A00624,3,1,3,1,3,3,3,1,4
A00625,2,1,3,1,1,1,1,5,1
A00626,1,3,3,1,3,2,4,2,2
A00627,2,1,3,1,1,1,1,4,1
A00628,4,1,4,1,3,3,4,1,4
A00629,4,1,3,1,4,3,3,1,3
A00630,1,1,1,3,1,1,1,3,1
A00631,3,1,4,1,4,4,3,1,4
A00632,3,1,4,1,3,4,4,1,3
