date,customer_id,region_id,region_preference_product,customer_estimated_product_adoption,customer_estimated_size,region_preference_competitor_1,region_preference_competitor_2,region_preference_competitor_3,region_preference_competitor_4,region_preference_competitor_5,region_preference_competitor_6,region_preference_competitor_7,number_of_days_since_last_promotion,promotional_activity_1,promotional_activity_2,region_teenager_percent,sales
01-08-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,4,0,1,8.806839814,105
01-09-19,2,2,0,,,0,0,0,0,1,0,0,34,0,0,8.806839814,106
01-10-19,2,2,0,,,0,0,0,0,1,0,0,65,0,0,8.806839814,106
01-11-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,29,1,1,8.806839814,103
01-12-19,2,2,0,High,Very Big,0,0,0,0,1,0,0,60,1,0,8.806839814,105
01-01-20,2,2,0,High,Very Big,0,1,0,0,1,0,0,9,1,1,8.806839814,104
01-02-20,2,2,0,High,Very Big,0,1,0,0,1,0,0,38,1,0,8.806839814,104
01-01-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,72,0,0,21.73611241,102
01-02-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,100,0,0,21.73611241,102
01-03-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,131,0,0,21.73611241,102
01-04-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,0,0,2,21.73611241,102
01-05-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,31,0,0,21.73611241,102
01-06-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,61,0,0,21.73611241,102
01-07-19,3,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,92,1,0,21.73611241,102
01-08-19,3,3,-1,Very Low,Small,-1,0,-1,-1,-1,-1,-1,26,1,1,21.73611241,102
01-09-19,3,3,-1,Very Low,Small,-1,0,-1,-1,-1,-1,-1,56,1,0,21.73611241,101
01-10-19,3,3,-1,Very Low,Small,-1,0,-1,-1,-1,-1,-1,87,1,0,21.73611241,102
01-11-19,3,3,-1,Very Low,Small,-1,0,-1,-1,-1,-1,-1,117,0,0,21.73611241,102
01-12-19,3,3,-1,Very Low,Small,-1,0,-1,-1,-1,-1,-1,148,0,0,21.73611241,102
01-01-20,3,3,-1,Very Low,Small,-1,1,-1,-1,-1,-1,-1,179,0,0,21.73611241,102
01-02-20,3,3,-1,Very Low,Small,-1,1,-1,-1,-1,-1,-1,208,0,0,21.73611241,101
01-01-19,4,4,1,Low,Big,0,1,0,0,0,1,0,79,0,0,10.23297133,105
01-02-19,4,4,1,Low,Big,0,1,0,0,0,1,0,5,0,2,10.23297133,111
01-03-19,4,4,1,Low,Big,0,1,0,0,0,1,0,3,0,1,10.23297133,110
01-04-19,4,4,1,Low,Big,0,1,0,0,0,1,0,33,1,0,10.23297133,110
01-05-19,4,4,1,Low,Big,0,1,0,0,0,1,0,64,1,0,10.23297133,114
01-06-19,4,4,1,Low,Big,0,1,0,0,0,1,0,94,1,0,10.23297133,107
01-07-19,4,4,1,Low,Big,0,1,0,0,0,1,0,21,0,1,10.23297133,117
01-08-19,4,4,1,Low,Big,0,1,0,0,0,1,0,52,0,0,10.23297133,109
01-09-19,4,4,1,Low,Big,0,1,0,0,0,1,0,82,0,0,10.23297133,111
01-10-19,4,4,1,Low,Big,0,1,0,0,0,1,0,9,0,1,10.23297133,111
01-11-19,4,4,1,Low,Big,0,1,0,0,0,1,0,3,0,2,10.23297133,116
01-12-19,4,4,1,Low,Big,0,1,0,0,0,1,0,19,0,1,10.23297133,109
01-01-20,4,4,1,Low,Big,0,1,0,0,0,0,1,50,0,0,10.23297133,112
01-02-20,4,4,1,Low,Big,0,1,0,0,0,0,1,16,1,2,10.23297133,108
01-01-19,5,5,1,Low,Small,0,1,0,0,1,1,1,2,0,1,15.32076105,102
01-02-19,5,5,1,Low,Small,0,1,0,0,1,1,1,30,0,0,15.32076105,103
01-03-19,5,5,1,Low,Small,0,1,0,0,1,1,1,61,0,0,15.32076105,103
01-04-19,5,5,1,Low,Small,0,1,0,0,1,1,1,91,0,0,15.32076105,102
01-05-19,5,5,1,Low,Small,0,1,0,0,1,1,1,122,0,0,15.32076105,103
01-06-19,5,5,1,Low,Small,0,1,0,0,1,1,1,152,0,0,15.32076105,103
01-07-19,5,5,1,Low,Small,0,1,0,0,1,1,0,183,0,0,15.32076105,102
01-08-19,5,5,1,Low,Small,0,1,0,0,1,1,0,214,0,0,15.32076105,103
01-09-19,5,5,1,Low,Small,0,1,0,0,1,1,0,244,0,0,15.32076105,102
01-10-19,5,5,1,Low,Small,0,1,0,0,1,1,0,275,0,0,15.32076105,102
01-11-19,5,5,1,Low,Small,0,1,0,0,1,1,0,305,0,0,15.32076105,103
01-12-19,5,5,1,Low,Small,0,1,0,0,1,1,0,336,0,0,15.32076105,102
01-01-20,5,5,1,Low,Small,0,0,0,1,1,1,0,367,0,0,15.32076105,102
01-02-20,5,5,1,Low,Small,0,0,0,1,1,1,0,396,0,0,15.32076105,103
01-01-19,6,6,0,High,Big,0,0,0,1,0,1,0,45,0,0,17.11940283,102
01-02-19,6,6,0,High,Big,0,0,0,1,0,1,0,73,0,0,17.11940283,105
01-03-19,6,6,0,High,Big,0,0,0,1,0,1,0,104,0,0,17.11940283,102
01-04-19,6,6,0,High,Big,0,0,0,1,0,1,0,13,0,1,17.11940283,104
01-05-19,6,6,0,High,Big,0,0,0,1,0,1,0,44,0,0,17.11940283,106
01-06-19,6,6,0,High,Big,0,0,0,1,0,1,0,19,0,1,17.11940283,108
01-07-19,6,6,0,High,Big,0,0,0,1,0,1,0,27,0,1,17.11940283,0
01-08-19,6,6,0,High,Big,0,0,0,1,0,1,0,58,0,0,17.11940283,104
01-09-19,6,6,0,High,Big,0,0,0,1,0,1,0,21,0,2,17.11940283,108
01-10-19,6,6,0,High,Big,0,0,0,1,0,1,0,52,1,0,17.11940283,0
01-11-19,6,6,0,High,Big,0,0,0,1,0,1,0,82,1,0,17.11940283,105
01-12-19,6,6,0,High,Big,0,0,0,1,0,1,0,22,1,1,17.11940283,102
01-01-20,6,6,0,High,Big,1,0,0,0,0,0,0,11,1,1,17.11940283,104
01-02-20,6,6,0,High,Big,1,0,0,0,0,0,0,40,0,0,17.11940283,102
01-01-19,7,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,20,0,2,21.73611241,117
01-02-19,7,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,16,0,1,21.73611241,121
01-03-19,7,3,-1,,,-1,0,-1,-1,-1,-1,-1,47,0,0,21.73611241,118
01-04-19,7,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,14,1,3,21.73611241,116
01-05-19,7,3,-1,Very Low,Big,-1,0,-1,-1,-1,-1,-1,24,1,1,21.73611241,124
01-06-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,12,1,2,21.73611241,116
01-07-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,29,2,1,21.73611241,119
01-08-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,26,1,1,21.73611241,116
01-09-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,56,1,0,21.73611241,113
01-10-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,87,1,0,21.73611241,119
01-11-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,117,0,0,21.73611241,116
01-12-19,7,3,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,26,0,1,21.73611241,121
01-01-20,7,3,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,15,0,1,21.73611241,119
01-02-20,7,3,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,10,0,1,21.73611241,111
01-01-19,8,7,0,Low,Big,0,0,0,0,1,0,0,63,0,0,11.01553841,112
01-02-19,8,7,0,Low,Big,0,0,0,0,1,0,0,27,0,1,11.01553841,113
01-03-19,8,7,0,Low,Big,0,0,0,0,1,0,0,13,0,2,11.01553841,0
01-04-19,8,7,0,Low,Big,0,0,0,0,1,0,0,7,0,1,11.01553841,109
01-05-19,8,7,0,Low,Big,0,0,0,0,1,0,0,38,0,0,11.01553841,112
01-06-19,8,7,0,Low,Big,0,0,0,0,1,0,0,13,0,1,11.01553841,106
01-07-19,8,7,0,Low,Big,0,0,0,0,1,0,0,44,0,0,11.01553841,112
01-08-19,8,7,0,Low,Big,0,0,0,0,1,0,0,12,0,1,11.01553841,125
01-09-19,8,7,0,Low,Big,0,0,0,0,1,0,0,42,0,0,11.01553841,103
01-10-19,8,7,0,Low,Big,0,0,0,0,1,0,0,73,0,0,11.01553841,115
01-11-19,8,7,0,Low,Big,0,0,0,0,1,0,0,103,0,0,11.01553841,124
01-12-19,8,7,0,Low,Big,0,0,0,0,1,0,0,134,0,0,11.01553841,103
01-01-20,8,7,0,Low,Big,0,0,0,0,1,0,0,15,0,1,11.01553841,115
01-02-20,8,7,0,Low,Big,0,0,0,0,1,0,0,44,0,0,11.01553841,116
01-01-19,9,8,0,Low,Big,0,0,0,0,1,0,0,9,0,2,10.69438985,103
01-02-19,9,8,0,Low,Big,0,0,0,0,1,0,0,2,0,1,10.69438985,107
01-03-19,9,8,0,Low,Big,0,0,0,0,1,0,0,6,0,1,10.69438985,115
01-04-19,9,8,0,Low,Big,0,0,0,0,1,0,0,15,0,2,10.69438985,106
01-05-19,9,8,0,Low,Big,0,0,0,0,1,0,0,22,0,1,10.69438985,109
01-06-19,9,8,0,Low,Big,0,0,0,0,1,0,0,18,0,1,10.69438985,130
01-07-19,9,8,0,Low,Big,0,0,0,0,1,0,0,30,1,1,10.69438985,109
01-08-19,9,8,0,Low,Big,0,0,0,0,1,0,0,61,1,0,10.69438985,103
01-09-19,9,8,0,Low,Big,0,0,0,0,1,0,0,91,2,0,10.69438985,0
01-10-19,9,8,0,Low,Big,0,0,0,0,1,0,0,122,2,0,10.69438985,104
01-11-19,9,8,0,Low,Big,0,0,0,0,1,0,0,3,1,1,10.69438985,107
01-12-19,9,8,0,Low,Big,0,0,0,0,1,0,0,34,1,0,10.69438985,109
01-01-20,9,8,0,Low,Big,0,0,0,1,1,0,0,65,0,0,10.69438985,0
01-02-20,9,8,0,Low,Big,0,0,0,1,1,0,0,94,0,0,10.69438985,0
01-01-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,2,1,2,9.593291865,104
01-02-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,7,1,1,9.593291865,107
01-03-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,25,1,1,9.593291865,103
01-04-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,13,2,2,9.593291865,103
01-05-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,44,2,0,9.593291865,109
01-06-19,10,9,1,Very High,Very Big,0,1,0,0,0,0,0,74,1,0,9.593291865,109
01-07-19,10,9,0,Very High,Very Big,0,1,0,0,1,0,0,22,1,1,9.593291865,103
01-08-19,10,9,0,Very High,Very Big,0,1,0,0,1,0,0,15,0,1,9.593291865,106
01-09-19,10,9,0,Very High,Very Big,0,1,0,0,1,0,0,45,1,0,9.593291865,109
01-10-19,10,9,0,Very High,Very Big,0,1,0,0,1,0,0,76,1,0,9.593291865,104
01-11-19,10,9,0,,,0,1,0,0,1,0,0,106,2,0,9.593291865,103
01-12-19,10,9,0,Very High,Very Big,0,1,0,0,1,0,0,28,2,1,9.593291865,106
01-01-20,10,9,1,,,1,0,0,0,0,1,1,16,1,1,9.593291865,103
01-02-20,10,9,1,,,1,0,0,0,0,1,1,45,1,0,9.593291865,103
01-01-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,44,0,0,11.25709595,102
01-02-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,27,1,1,11.25709595,102
01-03-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,23,1,1,11.25709595,101
01-04-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,53,0,0,11.25709595,102
01-05-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,84,1,0,11.25709595,102
01-06-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,2,1,1,11.25709595,101
01-07-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,33,1,0,11.25709595,102
01-08-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,8,1,1,11.25709595,102
01-09-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,38,0,0,11.25709595,101
01-10-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,27,0,1,11.25709595,101
01-11-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,26,0,1,11.25709595,102
01-12-19,11,10,-1,High,Small,-1,1,-1,-1,-1,-1,-1,57,0,0,11.25709595,102
01-01-20,11,10,-1,High,Small,-1,0,-1,-1,-1,-1,-1,88,1,0,11.25709595,101
01-02-20,11,10,-1,High,Small,-1,0,-1,-1,-1,-1,-1,117,1,0,11.25709595,102
01-01-19,12,11,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,64,0,0,9.897414803,106
01-02-19,12,11,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,8,0,1,9.897414803,0
01-03-19,12,11,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,25,0,1,9.897414803,0
01-04-19,12,11,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,20,0,1,9.897414803,0
01-05-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,16,0,1,9.897414803,109
01-06-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,25,0,1,9.897414803,0
01-07-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,2,0,1,9.897414803,0
01-08-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,24,0,1,9.897414803,101
01-09-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,54,0,0,9.897414803,101
01-10-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,22,0,1,9.897414803,0
01-11-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,11,0,1,9.897414803,103
01-12-19,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,18,0,1,9.897414803,103
01-01-20,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,49,0,0,9.897414803,101
01-02-20,12,11,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,78,0,0,9.897414803,103
01-01-19,13,12,0,Low,Big,0,0,0,0,1,0,0,0,0,3,15.81616569,109
01-02-19,13,12,0,Low,Big,0,0,0,0,1,0,0,28,0,0,15.81616569,109
01-03-19,13,12,0,Low,Big,0,0,0,0,1,0,0,12,0,2,15.81616569,107
01-04-19,13,12,0,Low,Big,0,0,0,0,1,0,0,13,0,1,15.81616569,107
01-05-19,13,12,0,Low,Big,0,0,0,0,1,0,0,44,0,0,15.81616569,112
01-06-19,13,12,0,Low,Big,0,0,0,0,1,0,0,74,0,0,15.81616569,109
01-07-19,13,12,0,Low,Big,0,0,0,0,1,0,0,105,0,0,15.81616569,109
01-08-19,13,12,0,Low,Big,0,0,0,0,1,0,0,136,0,0,15.81616569,106
01-09-19,13,12,0,Low,Big,0,0,0,0,1,0,0,17,0,2,15.81616569,112
01-10-19,13,12,0,Low,Big,0,0,0,0,1,0,0,15,0,1,15.81616569,107
01-11-19,13,12,0,Low,Big,0,0,0,0,1,0,0,9,0,1,15.81616569,108
01-12-19,13,12,0,Low,Big,0,0,0,0,1,0,0,20,0,1,15.81616569,108
01-01-20,13,12,0,Low,Big,0,0,0,0,1,0,0,1,0,2,15.81616569,109
01-02-20,13,12,0,Low,Big,0,0,0,0,1,0,0,16,0,1,15.81616569,108
01-01-19,14,13,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,107,0,0,18.79428592,126
01-02-19,14,13,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,135,0,0,18.79428592,119
01-03-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,10,0,2,18.79428592,127
01-04-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,19,0,1,18.79428592,114
01-05-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,50,1,0,18.79428592,126
01-06-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,12,1,1,18.79428592,123
01-07-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,30,1,1,18.79428592,117
01-08-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,30,1,1,18.79428592,136
01-09-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,17,0,1,18.79428592,125
01-10-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,48,0,0,18.79428592,126
01-11-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,78,0,0,18.79428592,135
01-12-19,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,109,0,0,18.79428592,131
01-01-20,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,140,0,0,18.79428592,123
01-02-20,14,13,-1,High,Big,-1,0,-1,-1,-1,-1,-1,15,0,1,18.79428592,135
01-01-19,15,14,1,Low,Big,0,0,0,0,0,1,1,59,0,0,10.38918041,103
01-02-19,15,14,1,Low,Big,0,0,0,0,0,1,1,17,0,1,10.38918041,116
01-03-19,15,14,1,Low,Big,0,0,0,0,0,1,1,4,0,2,10.38918041,103
01-04-19,15,14,1,Low,Big,0,0,0,0,0,1,1,34,0,0,10.38918041,106
01-05-19,15,14,1,Low,Big,0,0,0,0,0,1,1,18,0,1,10.38918041,112
01-06-19,15,14,1,Low,Big,0,0,0,0,0,1,1,48,0,0,10.38918041,106
01-07-19,15,14,1,Low,Big,0,0,0,0,0,0,1,6,0,2,10.38918041,112
01-08-19,15,14,1,Low,Big,0,0,0,0,0,0,1,37,0,0,10.38918041,112
01-09-19,15,14,1,Low,Big,0,0,0,0,0,0,1,67,0,0,10.38918041,112
01-10-19,15,14,1,Low,Big,0,0,0,0,0,0,1,98,0,0,10.38918041,113
01-11-19,15,14,1,Low,Big,0,0,0,0,0,0,1,128,0,0,10.38918041,113
01-12-19,15,14,1,Low,Big,0,0,0,0,0,0,1,26,0,1,10.38918041,112
01-01-20,15,14,1,Low,Big,0,1,0,0,0,0,1,0,0,1,10.38918041,103
01-02-20,15,14,1,Low,Big,0,1,0,0,0,0,1,19,0,1,10.38918041,112
01-01-19,16,15,0,High,Small,0,0,0,1,1,1,0,9,0,2,11.44692024,104
01-02-19,16,15,0,High,Small,0,0,0,1,1,1,0,37,0,0,11.44692024,103
01-03-19,16,15,0,High,Small,0,0,0,1,1,1,0,1,0,1,11.44692024,104
01-04-19,16,15,0,High,Small,0,0,0,1,1,1,0,6,1,1,11.44692024,103
01-05-19,16,15,0,High,Small,0,0,0,1,1,1,0,37,1,0,11.44692024,103
01-06-19,16,15,0,High,Small,0,0,0,1,1,1,0,67,1,0,11.44692024,102
01-07-19,16,15,0,High,Small,0,0,0,1,1,1,0,22,1,1,11.44692024,103
01-08-19,16,15,0,High,Small,0,0,0,1,1,1,0,53,1,0,11.44692024,103
01-09-19,16,15,0,High,Small,0,0,0,1,1,1,0,12,1,2,11.44692024,102
01-10-19,16,15,0,High,Small,0,0,0,1,1,1,0,43,1,0,11.44692024,103
01-11-19,16,15,0,High,Small,0,0,0,1,1,1,0,0,0,1,11.44692024,104
01-12-19,16,15,0,High,Small,0,0,0,1,1,1,0,31,0,0,11.44692024,103
01-01-20,16,15,0,High,Small,0,1,0,1,1,1,0,23,0,1,11.44692024,104
01-02-20,16,15,0,High,Small,0,1,0,1,1,1,0,52,0,0,11.44692024,103
01-01-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,9,0,1,13.05716983,112
01-02-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,15,0,1,13.05716983,121
01-03-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,46,0,0,13.05716983,108
01-04-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,13,0,2,13.05716983,110
01-05-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,9,0,2,13.05716983,130
01-06-19,17,16,0,High,Very Big,0,0,0,0,0,0,1,39,0,0,13.05716983,121
01-07-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,6,0,1,13.05716983,126
01-08-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,17,0,1,13.05716983,122
01-09-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,47,0,0,13.05716983,118
01-10-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,23,0,1,13.05716983,122
01-11-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,10,0,1,13.05716983,116
01-12-19,17,16,1,High,Very Big,1,1,0,1,0,0,1,41,0,0,13.05716983,119
01-01-20,17,16,1,High,Very Big,0,1,0,0,0,0,1,18,0,1,13.05716983,129
01-02-20,17,16,1,High,Very Big,0,1,0,0,0,0,1,3,0,2,13.05716983,117
01-01-19,18,17,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,57,0,0,-1,0
01-02-19,18,17,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,15,0,1,-1,0
01-03-19,18,17,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,46,0,0,-1,0
01-04-19,18,17,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,29,0,1,-1,0
01-05-19,18,17,-1,Low,Small,-1,1,-1,-1,-1,-1,-1,60,0,0,-1,101
01-06-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,18,0,1,-1,0
01-07-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,5,0,1,-1,0
01-08-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,9,0,1,-1,0
01-09-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,39,0,0,-1,0
01-10-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,70,0,0,-1,101
01-11-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,18,0,1,-1,0
01-12-19,18,17,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,49,0,0,-1,0
01-01-20,18,17,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,80,0,0,-1,0
01-02-20,18,17,-1,Low,Big,-1,0,-1,-1,-1,-1,-1,109,0,0,-1,0
01-01-19,19,15,0,High,Big,0,0,0,1,1,1,0,9,0,2,11.44692024,108
01-02-19,19,15,0,High,Big,0,0,0,1,1,1,0,37,0,0,11.44692024,107
01-03-19,19,15,0,High,Big,0,0,0,1,1,1,0,1,0,1,11.44692024,109
01-04-19,19,15,0,High,Big,0,0,0,1,1,1,0,6,1,1,11.44692024,106
01-05-19,19,15,0,High,Big,0,0,0,1,1,1,0,37,1,0,11.44692024,107
01-06-19,19,15,0,High,Big,0,0,0,1,1,1,0,67,1,0,11.44692024,105
01-07-19,19,15,0,High,Small,0,0,0,1,1,1,0,22,1,1,11.44692024,107
01-08-19,19,15,0,High,Small,0,0,0,1,1,1,0,53,1,0,11.44692024,107
01-09-19,19,15,0,High,Small,0,0,0,1,1,1,0,12,1,2,11.44692024,105
01-10-19,19,15,0,High,Small,0,0,0,1,1,1,0,13,1,1,11.44692024,107
01-11-19,19,15,0,High,Small,0,0,0,1,1,1,0,0,0,1,11.44692024,108
01-12-19,19,15,0,High,Small,0,0,0,1,1,1,0,31,0,0,11.44692024,107
01-01-20,19,15,0,High,Small,0,1,0,1,1,1,0,23,0,1,11.44692024,108
01-02-20,19,15,0,High,Small,0,1,0,1,1,1,0,52,0,0,11.44692024,107
01-01-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,2,0,2,15.29467008,0
01-02-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,1,0,1,15.29467008,0
01-03-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,6,0,2,15.29467008,0
01-04-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,18,0,1,15.29467008,0
01-05-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,4,0,2,15.29467008,0
01-06-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,2,0,2,15.29467008,0
01-07-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,13,0,2,15.29467008,0
01-08-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,44,0,0,15.29467008,0
01-09-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,3,0,3,15.29467008,0
01-10-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,17,0,1,15.29467008,0
01-11-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,22,1,1,15.29467008,0
01-12-19,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,14,1,2,15.29467008,0
01-01-20,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,45,1,0,15.29467008,0
01-02-20,20,18,-1,Low,Big,-1,1,-1,-1,-1,-1,-1,74,1,0,15.29467008,0
01-01-19,21,19,0,Low,Big,0,0,0,1,1,0,0,73,0,0,17.18618982,103
01-02-19,21,19,0,Low,Big,0,0,0,1,1,0,0,8,0,1,17.18618982,112
01-03-19,21,19,0,Low,Big,0,0,0,1,1,0,0,12,0,1,17.18618982,110
